GridI,GridJ,GridK,x,y,Y_lm,u1976,v1976,T25_DeltaWhiteRatio_Q10000,T45_DeltaWhiteRatio_Q10000,T60_DeltaWhiteRatio_Q10000,T80_DeltaWhiteRatio_Q10000,T100_DeltaWhiteRatio_Q10000
25,6,12,0.469993023255814,0.279062790697674,4,0.347578651371374,0.464350731155703,0,105,181,258,315
25,7,11,0.469641860465116,0.294841860465116,4,0.335529256171983,0.473952976790785,0,101,173,246,304
25,8,10,0.469290697674419,0.310620930232558,4,0.324271034953202,0.482924730457084,0,96,165,236,294
25,9,9,0.468939534883721,0.3264,4,0.313728540889388,0.491326116247157,0,92,-71,-217,-452
25,10,8,0.468588372093023,0.342179069767442,4,0.303835624494375,0.499209849139995,0,-187,-333,-455,-655
25,11,7,0.468237209302326,0.357958139534884,4,0.294534044280605,0.506622342176289,0,-152,-271,-371,-540
25,12,6,0.467886046511628,0.373737209302326,4,0.285772319326502,0.513604620855353,0,-119,-214,-294,-434
25,13,5,0.46753488372093,0.389516279069767,4,0.277504775997438,0.520193082809722,0,-90,-162,-224,-337
25,14,4,0.467183720930233,0.405295348837209,4,0.269690751544027,0.526420132463134,0,-62,-114,-158,-247
25,15,3,0.466832558139535,0.421074418604651,4,0.262293925262342,0.532314714033531,0,-37,-70,-98,-164
25,16,2,0.466481395348837,0.436853488372093,4,0.255281753998581,0.537902761383269,0,-14,-29,-42,-87
25,17,1,0.46613023255814,0.452632558139535,4,0.248624993487791,0.543207579467562,0,8,9,10,-15
25,18,0,0.465779069767442,0.468411627906977,4,0.2422972906763,0.548250169215536,0,29,45,58,51
26,0,17,0.4849,0.190627906976744,4,0.449217020552335,0.397349816279639,0,160,271,387,451
26,1,16,0.484548837209302,0.206406976744186,4,0.429966136111782,0.412100923054065,0,149,252,360,425
26,2,15,0.484197674418605,0.222186046511628,4,0.412272842030227,0.425658516784072,0,139,237,338,402
26,3,14,0.483846511627907,0.23796511627907,4,0.395955451348183,0.438161816202555,0,131,223,318,382
26,4,13,0.483495348837209,0.253744186046512,4,0.380859476971524,0.449729197980869,0,123,211,301,365
26,5,12,0.483144186046512,0.269523255813953,4,0.366852725278955,0.460461956281818,0,117,200,286,350
26,6,11,0.482793023255814,0.285302325581395,4,0.353821414784585,0.470447276857958,0,111,191,272,336
26,7,10,0.482441860465116,0.301081395348837,4,0.341667078412965,0.47976061070211,0,106,182,260,324
26,8,9,0.482090697674419,0.316860465116279,4,0.330304070822123,0.488467584076176,0,101,175,250,280
26,9,8,0.481739534883721,0.332639534883721,4,0.319657547246968,0.496625547234623,0,-197,-350,-478,-684
26,10,7,0.481388372093023,0.348418604651163,4,0.309661812983994,0.50428483914182,0,-160,-285,-390,-564
26,11,6,0.481037209302326,0.364197674418605,4,0.300258966572409,0.511489827142716,0,-127,-227,-311,-454
26,12,5,0.480686046511628,0.379976744186046,4,0.291397777456658,0.518279766960727,0,-96,-173,-237,-354
26,13,4,0.48033488372093,0.395755813953488,4,0.283032752177792,0.524689518234252,0,-68,-123,-170,-261
26,14,3,0.479983720930233,0.41153488372093,4,0.275123353152929,0.530750143131647,0,-42,-77,-108,-176
26,15,2,0.479632558139535,0.427313953488372,4,0.26763334172491,0.536489409743399,0,-17,-35,-50,-97
26,16,1,0.479281395348837,0.443093023255814,4,0.260530223015267,0.541932217466906,0,5,4,3,-23
26,17,0,0.47893023255814,0.458872093023256,4,0.253784774638775,0.547100958131797,0,26,41,53,45
27,0,16,0.4977,0.196867441860465,4,0.455872626362355,0.405725487188827,0,166,283,404,477
27,1,15,0.497348837209302,0.212646511627907,4,0.436552326673253,0.419967788292739,0,155,264,377,449
27,2,14,0.496997674418605,0.228425581395349,4,0.418779007847122,0.433069705054432,0,145,248,354,425
27,3,13,0.496646511627907,0.244204651162791,4,0.402374021422717,0.445162931351214,0,136,233,334,404
27,4,12,0.496295348837209,0.259983720930233,4,0.387185206889639,0.45635963499829,0,129,221,316,386
27,5,11,0.495944186046512,0.275762790697674,4,0.373082157989944,0.46675594727837,0,122,210,300,370
27,6,10,0.495593023255814,0.291541860465116,4,0.35995246914675,0.476434729953305,0,116,200,286,356
27,7,9,0.495241860465116,0.307320930232558,4,0.347698733156235,0.485467788468603,0,111,192,274,343
27,8,8,0.494890697674419,0.3231,4,0.336236120382842,0.49391765649256,0,89,-71,-205,-418
27,9,7,0.494539534883721,0.338879069767442,4,0.32549041216663,0.501839045624862,0,-169,-300,-411,-590
27,10,6,0.494188372093023,0.354658139534884,4,0.315396392030676,0.509280031346543,0,-134,-239,-328,-476
27,11,5,0.493837209302326,0.370437209302326,4,0.305896520976276,0.516283029549589,0,-102,-184,-252,-372
27,12,4,0.493486046511628,0.386216279069767,4,0.296939840012762,0.522885605556523,0,-73,-132,-182,-277
27,13,3,0.49313488372093,0.401995348837209,4,0.288481055710496,0.529121148221209,0,-46,-85,-118,-188
27,14,2,0.492783720930233,0.417774418604651,4,0.280479774130504,0.535019434651192,0,-21,-42,-59,-107
27,15,1,0.492432558139535,0.433553488372093,4,0.272899855782429,0.540607105711866,0,2,-1,-4,-32
27,16,0,0.492081395348837,0.449332558139535,4,0.26570886987555,0.545908068335004,0,23,37,47,38
28,0,15,0.5105,0.203106976744186,4,0.46237971313353,0.413914256014475,0,172,293,420,501
28,1,14,0.510148837209302,0.218886046511628,4,0.442997610974573,0.427666348264574,0,161,274,393,472
28,2,13,0.509797674418605,0.23466511627907,4,0.425151494875502,0.440328619512947,0,151,258,369,447
28,3,12,0.509446511627907,0.250444186046512,4,0.40866573887867,0.452025680823518,0,142,244,349,426
28,4,11,0.509095348837209,0.266223255813954,4,0.393390508964953,0.462863843226754,0,134,231,330,406
28,5,10,0.508744186046512,0.282002325581395,4,0.379197196062423,0.472934358115662,0,128,220,314,390
28,6,9,0.508393023255814,0.297781395348837,4,0.365974786279356,0.482315992657368,0,122,210,300,374
28,7,8,0.508041860465116,0.313560465116279,4,0.353626951392441,0.49107709416541,0,116,200,287,322
28,8,7,0.507690697674419,0.329339534883721,4,0.342069698187621,0.499277257951925,0,-178,-316,-432,-617
28,9,6,0.507339534883721,0.345118604651163,4,0.331229455304612,0.506968684759916,0,-142,-253,-346,-499
28,10,5,0.506988372093023,0.360897674418605,4,0.321041505443959,0.514197293152033,0,-109,-195,-267,-391
