wavelength_nm,R_W_nm,G_W_nm,B_W_nm,W_W_nm,RGB_target_W_nm
416.2,3.88686342426283e-08,6.13710408039109e-08,2.45296479715824e-06,2.41895687500704e-06,1.14964427661605e-06
416.4,6.24730559224203e-09,3.51522894107194e-08,2.48786388748575e-06,2.4631884305289e-06,1.11937239749712e-06
416.6,4.61752616768345e-08,6.61606787154421e-08,2.5694956677346e-06,2.51221256994478e-06,1.20988847453535e-06
416.8,6.13023259009983e-08,6.84182659119172e-08,2.62034003209107e-06,2.56453161078779e-06,1.24537244565858e-06
417,2.09270475900543e-08,1.80616956209588e-08,2.62395028281461e-06,2.62613628292546e-06,1.17644391331994e-06
417.2,9.50378357288178e-09,2.98097322653919e-08,2.67429322345947e-06,2.69772550484233e-06,1.1990583431699e-06
417.4,4.3319992278239e-08,1.1772987873395e-07,2.79343149733617e-06,2.78089680450308e-06,1.34635295333734e-06
417.6,4.81927336152783e-08,1.26173374614666e-07,2.88338691119761e-06,2.85548139135371e-06,1.39603099735685e-06
417.8,1.53467003317481e-08,4.01784649728097e-08,2.92871561472646e-06,2.92267741136773e-06,1.32284319568403e-06
418,0,0,2.97324204031674e-06,3.01034175842912e-06,1.29884761364762e-06
418.2,0,0,3.0363211432363e-06,3.11148524769243e-06,1.32640344031331e-06
418.4,1.00177916943414e-08,2.20598805498177e-08,3.14914147834681e-06,3.1755860572749e-06,1.40075147031342e-06
418.6,3.1834315828685e-08,6.58492873779973e-08,3.29184666666881e-06,3.2167224023652e-06,1.51430843619142e-06
418.8,5.28915549576241e-08,9.49583891341383e-08,3.4001541883749e-06,3.29819632856349e-06,1.60064572669227e-06
419,7.2927138346307e-08,1.13428286860914e-07,3.4854965040896e-06,3.40123688228484e-06,1.66775609719592e-06
419.2,9.7390227885614e-08,1.43958610618726e-07,3.59520801218818e-06,3.4792162160604e-06,1.75841749276934e-06
419.4,1.18692942664206e-07,1.69997713163392e-07,3.72066422483106e-06,3.53972258772236e-06,1.85000319033017e-06
419.6,1.26872151557503e-07,1.5857005029883e-07,3.86397112160699e-06,3.60472200678496e-06,1.90977405064495e-06
419.8,1.1722207642337e-07,1.25624447577503e-07,3.99173388332324e-06,3.67930659363559e-06,1.93218892480325e-06
420,7.33634290758522e-08,8.61436189664692e-08,4.04117426128722e-06,3.77835332744526e-06,1.88924214015786e-06
