wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
495.8,0,1.53816980387543e-05,1.91363671159066e-06,1.7295334750345e-05,2.73497555517553e-05
496,0,1.5750109888907e-05,1.85156593078096e-06,1.7601675819688e-05,2.73973178374429e-05
496.2,3.43080956178667e-09,1.6130600816114e-05,1.81625293524699e-06,1.79502845609228e-05,2.74809121577423e-05
496.4,3.24065232237544e-08,1.64668017941222e-05,1.82476263906767e-06,1.83239709564137e-05,2.7653865923879e-05
496.6,4.58053914132915e-08,1.67868973360582e-05,1.81338602968173e-06,1.86460887571532e-05,2.77547556207921e-05
496.8,1.76753888495634e-08,1.70959203906945e-05,1.73752679829627e-06,1.88511225778404e-05,2.76740438632616e-05
497,3.9218473742597e-09,1.74331279584573e-05,1.67695772992551e-06,1.91140075357571e-05,2.76927805212598e-05
497.2,3.32017588265727e-08,1.7828717731982e-05,1.67108739948236e-06,1.95330068902909e-05,2.79579762960028e-05
497.4,7.31822959991534e-08,1.82373931723153e-05,1.67349924067218e-06,1.99840747089867e-05,2.81309300621395e-05
497.6,1.07424047271351e-07,1.86370093048581e-05,1.66467099178869e-06,2.04091043439181e-05,2.80703962439916e-05
497.8,9.58855103961858e-08,1.90386386169098e-05,1.62967654131753e-06,2.07642006686235e-05,2.80069798630748e-05
498,3.14992194694679e-08,1.94483206469977e-05,1.56628607381905e-06,2.10461059402862e-05,2.80329229279953e-05
498.2,9.37696636964663e-09,1.98741081131578e-05,1.52569433153001e-06,2.14091794110575e-05,2.81611969712134e-05
498.4,4.72452430233548e-08,2.03139878358812e-05,1.51859532727318e-06,2.18798284061777e-05,2.8370182771962e-05
498.6,5.13792129947135e-08,2.06995117118607e-05,1.49693426300235e-06,2.22478251878578e-05,2.84163037762651e-05
498.8,1.3977139851113e-08,2.10427588181506e-05,1.45411270527366e-06,2.25108486632753e-05,2.83067663910452e-05
499,1.39905880292892e-08,2.14745858228378e-05,1.41952781274039e-06,2.29081042236075e-05,2.83990083996514e-05
499.2,4.82439943892394e-08,2.19929795464134e-05,1.39540940084219e-06,2.34366329416448e-05,2.86656454557789e-05
499.4,4.42211960241371e-08,2.24701030900538e-05,1.36692237093979e-06,2.38812466570178e-05,2.87002362090062e-05
499.6,1.02573737675808e-08,2.29109894025317e-05,1.33465830672126e-06,2.42559050830205e-05,2.85647557588658e-05
499.8,7.35104315466523e-09,2.34042183822444e-05,1.30653532831921e-06,2.47181047537183e-05,2.8656997767472e-05
500,2.66874613180296e-08,2.39286516443471e-05,1.28300850010908e-06,2.52383476057742e-05,2.89020156028324e-05
500.2,2.53480227716817e-08,2.43997356494604e-05,1.25943616546141e-06,2.56845198376935e-05,2.90202006763592e-05
500.4,1.63780879281676e-08,2.48527010389925e-05,1.24278080932039e-06,2.6111859936241e-05,2.90389373343573e-05
