颜色序号,层级,方法,目标xyY,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确,RGB点_x,RGB点_y,白色比例,RGB比例,R权重,G权重,B权重
19,3,纯RGB,"(0.1580, 0.1664, 2.0940)","(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",31.2780645922979,0,0,0,0,0.158,0.1664,0,1,0.0352506577234565,0.623717356610741,0.651827494269171
20,1,精确法,"(0.1609, 0.2060, 2.2930)","(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",37.4971530879328,0,0,0,0,0.1609,0.206,0,1,0.0430136112210566,0.712713000823783,0.533371148637144
20,2,网格法,"(0.1609, 0.2060, 2.2930)","(0.15519, 0.20147)","W=0.0541, RGB=0.9459","R=0.0128, G=0.6818, B=0.5249",34.5589595837514,0.00729085677158804,0.0541278692197876,-0.054127869219788,-2.9381935041814,0.155189993497375,0.201466522504325,0.0541278692197876,0.945872130780212,0.0127623869248264,0.681764954807421,0.524871083646815
20,3,纯RGB,"(0.1609, 0.2060, 2.2930)","(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",37.4971530879328,0,0,0,0,0.1609,0.206,0,1,0.0430136112210566,0.712713000823783,0.533371148637144
21,1,精确法,"(0.1667, 0.2407, 2.4490)","(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",45.4163194716924,0,0,0,0,0.1667,0.2407,0,1,0.064560309431086,0.774538916108966,0.450514650206311
21,2,网格法,"(0.1667, 0.2407, 2.4490)","(0.16307, 0.23849)","W=0.0309, RGB=0.9691","R=0.0461, G=0.7557, B=0.4453",43.7198374362776,0.00424985546531783,0.0308514076321183,-0.030851407632118,-1.6964820354148,0.163069586541594,0.238490617824568,0.0308514076321183,0.969148592367882,0.0461448847370452,0.755699301379289,0.445340237918364
21,3,纯RGB,"(0.1667, 0.2407, 2.4490)","(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",45.4163194716924,0,0,0,0,0.1667,0.2407,0,1,0.064560309431086,0.774538916108966,0.450514650206311
22,1,精确法,"(0.1667, 0.2828, 2.5860)","(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",44.1596231094779,0,0,0,0,0.1667,0.2828,0,1,0.0549533628232284,0.841748541602287,0.369238351193312
22,2,网格法,"(0.1667, 0.2828, 2.5860)","(0.15652, 0.27925)","W=0.0708, RGB=0.9292","R=0.0103, G=0.7961, B=0.3567",40.1626218723017,0.0107803732973848,0.0708199192375747,-0.070819919237575,-3.9970012371762,0.15652248220227,0.279245484574818,0.0708199192375747,0.929180080762425,0.0103156516784221,0.796082623256407,0.35669593499108
22,3,纯RGB,"(0.1667, 0.2828, 2.5860)","(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",44.1596231094779,0,0,0,0,0.1667,0.2828,0,1,0.0549533628232284,0.841748541602287,0.369238351193312
23,1,精确法,"(0.1766, 0.3402, 2.7720)","(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",49.2828223608565,0,0,0,0,0.1766,0.3402,0,1,0.0835921579177166,0.912651950238645,0.279791935839944
23,2,网格法,"(0.1766, 0.3402, 2.7720)","(0.15884, 0.34028)","W=0.1041, RGB=0.8959","R=0.0133, G=0.8407, B=0.2600",44.3304619381177,0.0177567292074337,0.104111650858771,-0.104111650858771,-4.9523604227388,0.158843458371615,0.340281618291826,0.104111650858771,0.895888349141229,0.0132508355139141,0.840690350890222,0.260027254381662
23,3,纯RGB,"(0.1766, 0.3402, 2.7720)","(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",49.2828223608565,0,0,0,0,0.1766,0.3402,0,1,0.0835921579177166,0.912651950238645,0.279791935839944
24,1,精确法,"(0.1800, 0.3800, 2.8720)","(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",46.7380323446331,0,0,0,0,0.18,0.38,0,1,0.0873561447358813,0.95576743007527,0.229780962955079
24,2,网格法,"(0.1800, 0.3800, 2.8720)","(0.15965, 0.38553)","W=0.1073, RGB=0.8927","R=0.0122, G=0.8789, B=0.2087",41.3342382571064,0.021091367810776,0.107344818517067,-0.107344818517066,-5.4037940875267,0.159646692060571,0.385530700864467,0.107344818517067,0.892655181482934,0.012214016478913,0.878894440728065,0.208667339009106
24,3,纯RGB,"(0.1800, 0.3800, 2.8720)","(0.18000, 0.38000)","W=0.0000, RGB=1.0000","R=0.0874, G=0.9558, B=0.2298",46.7380323446331,0,0,0,0,0.18,0.38,0,1,0.0873561447358813,0.95576743007527,0.229780962955079
25,1,精确法,"(0.1808, 0.4144, 2.9310)","(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",43.2029885440329,0,0,0,0,0.1808,0.4144,0,1,0.0825003408613666,0.985469897630069,0.192084073208606
25,2,网格法,"(0.1808, 0.4144, 2.9310)","(0.15724, 0.42630)","W=0.1124, RGB=0.8876","R=0.0022, G=0.9034, B=0.1695",37.3026389362614,0.0263989564992954,0.112355534660832,-0.112355534660832,-5.9003496077715,0.157237737716327,0.426304818365985,0.112355534660832,0.887644465339168,0.00223496218127566,0.903355646365808,0.169530905489732
25,3,纯RGB,"(0.1808, 0.4144, 2.9310)","(0.18080, 0.41440)","W=0.0000, RGB=1.0000","R=0.0825, G=0.9855, B=0.1921",43.2029873030783,0,0,0,-1.24095459597129e-06,0.1808,0.4144,0,1,0.0825003408613666,0.985469897630068,0.192084073208606
26,1,精确法,"(0.1861, 0.5109, 3.1060)","(0.18610, 0.51090)","W=0.0000, RGB=1.0000","R=0.0816, G=1.0633, B=0.1084",35.3306427986179,0,0,0,0,0.1861,0.5109,0,1,0.0815548904236282,1.0632687959084,0.108406080375115
