序号,目标xyY,方法,Ra,RGB点,白色_RGB比例,RGB权重,Ra差_精确减当前,说明,白色比例,RGB比例,该目标近似最优来源
,,同比例,21.0431109884352,"(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",0,对比精确法,1.43179457258393e-15,0.999999999999998,PureRGB
,,纯RGB,21.0431109884352,"(0.15790, 0.10530)","W=0.0000, RGB=1.0000","R=0.0532, G=0.4346, B=0.9436",0,对比精确法,0,1,PureRGB
18,"(0.1586, 0.1409, 1.9570)",精确法,30.1965536923023,"(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",0,基准,0,1,PureRGB
,,投影1点,29.1443668167606,"(0.15710, 0.13915)","W=0.0211, RGB=0.9789","R=0.0356, G=0.5426, B=0.7488",1.0521868755417,对比精确法,0.0210864035331862,0.978913596466814,PureRGB
,,投影K点,28.8847552486834,"(0.15672, 0.13871)","W=0.0263, RGB=0.9737","R=0.0332, G=0.5401, B=0.7481",1.3117984436189,对比精确法,0.0262685173510482,0.973731482648952,PureRGB
,,同比例,30.1965536923023,"(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",0,对比精确法,5.35017631274264e-16,0.999999999999999,PureRGB
,,纯RGB,30.1965536923024,"(0.15860, 0.14090)","W=0.0000, RGB=1.0000","R=0.0457, G=0.5529, B=0.7516",-9.9475983006414e-14,对比精确法,0,1,PureRGB
19,"(0.1580, 0.1664, 2.0940)",精确法,31.2780645922979,"(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",0,基准,0,1,Ratio1
,,投影1点,27.7340359490381,"(0.15214, 0.16047)","W=0.0676, RGB=0.9324","R=0.0008, G=0.5884, B=0.6421",3.5440286432598,对比精确法,0.0675688188040923,0.932431181195908,Ratio1
,,投影K点,27.7623875001617,"(0.15219, 0.16052)","W=0.0670, RGB=0.9330","R=0.0010, G=0.5887, B=0.6422",3.5156770921362,对比精确法,0.0670329798132688,0.932967020186731,Ratio1
,,同比例,31.278064592298,"(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",-1.03028696685215e-13,对比精确法,4.53028751481634e-16,1,Ratio1
,,纯RGB,31.2780645922979,"(0.15800, 0.16640)","W=0.0000, RGB=1.0000","R=0.0353, G=0.6237, B=0.6518",0,对比精确法,0,1,Ratio1
20,"(0.1609, 0.2060, 2.2930)",精确法,37.4971530879328,"(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",0,基准,0,1,Ratio1
,,投影1点,33.5238896871267,"(0.15311, 0.19981)","W=0.0730, RGB=0.9270","R=0.0022, G=0.6710, B=0.5219",3.9732634008061,对比精确法,0.0730105863684502,0.92698941363155,Ratio1
,,投影K点,34.2276973538152,"(0.15453, 0.20094)","W=0.0602, RGB=0.9398","R=0.0094, G=0.6783, B=0.5239",3.2694557341176,对比精确法,0.0601809361198254,0.939819063880175,Ratio1
,,同比例,37.4971530879328,"(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",0,对比精确法,0,1,Ratio1
,,纯RGB,37.4971530879328,"(0.16090, 0.20600)","W=0.0000, RGB=1.0000","R=0.0430, G=0.7127, B=0.5334",0,对比精确法,0,1,Ratio1
21,"(0.1667, 0.2407, 2.4490)",精确法,45.4163194716924,"(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",0,基准,0,1,Ratio1
,,投影1点,42.2120188343116,"(0.15974, 0.23646)","W=0.0580, RGB=0.9420","R=0.0299, G=0.7391, B=0.4408",3.2043006373808,对比精确法,0.0580228419656822,0.941977158034318,Ratio1
,,投影K点,42.3548017296284,"(0.16006, 0.23666)","W=0.0555, RGB=0.9445","R=0.0315, G=0.7407, B=0.4412",3.061517742064,对比精确法,0.0554590827444171,0.944540917255583,Ratio1
,,同比例,45.4163194716924,"(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",0,对比精确法,0,1,Ratio1
,,纯RGB,45.4163194716924,"(0.16670, 0.24070)","W=0.0000, RGB=1.0000","R=0.0646, G=0.7745, B=0.4505",0,对比精确法,0,1,Ratio1
22,"(0.1667, 0.2828, 2.5860)",精确法,44.1596231094779,"(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",0,基准,0,1,Ratio1
,,投影1点,42.6723031530813,"(0.16303, 0.28152)","W=0.0265, RGB=0.9735","R=0.0382, G=0.8247, B=0.3645",1.4873199563966,对比精确法,0.0265095698894706,0.973490430110529,Ratio1
,,投影K点,42.2999508004729,"(0.16209, 0.28119)","W=0.0331, RGB=0.9669","R=0.0341, G=0.8204, B=0.3634",1.859672309005,对比精确法,0.0331156947333396,0.96688430526666,Ratio1
,,同比例,44.1596231094779,"(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",0,对比精确法,0,1,Ratio1
,,纯RGB,44.1596231094779,"(0.16670, 0.28280)","W=0.0000, RGB=1.0000","R=0.0550, G=0.8417, B=0.3692",0,对比精确法,0,1,Ratio1
23,"(0.1766, 0.3402, 2.7720)",精确法,49.2828223608565,"(0.17660, 0.34020)","W=0.0000, RGB=1.0000","R=0.0836, G=0.9127, B=0.2798",0,基准,0,1,Ratio1
,,投影1点,43.2283119837948,"(0.15504, 0.34030)","W=0.1236, RGB=0.8764","R=0.0001, G=0.8272, B=0.2563",6.0545103770617,对比精确法,0.123637766541925,0.876362233458076,Ratio1
